Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier1_within_host,t_clear,alpha_R,\alpha_R,0.000687064698963855,5.29493455022628e-06,0.000687064698963855,5.29493455022628e-06,0,0.00157775337657089,4.37952038907892e-06,6.19952462257494e-06,20.6415818094864,1024,0
Tier1_within_host,t_clear,kappa17,\kappa_{17},0.000713289924346612,4.42797314371113e-06,0.000713289924346612,4.42797314371113e-06,0.000140124382883918,0.00154745217691627,3.56722357782879e-06,5.37258526915722e-06,20.6415818094864,1024,0
Tier1_within_host,t_clear,t17,t_{17},0.000297429337474286,5.4806740392076e-06,0.000297429337474286,5.4806740392076e-06,0,0.0011197086661923,4.59156266088855e-06,6.17521216727683e-06,20.6415818094864,1024,0
Tier1_within_host,peak_Ag,beta,\beta,0.48227043057438,0.731713923937845,0.48227043057438,0.731713923937845,0.353816759249279,0.648764304050302,0.483458644048599,1,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,k,k,-0.00234127487464229,0.00130024940427452,0,0.00130024940427452,0,0.00432617563893141,0.000733527866382147,0.00236271756472376,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,p,p,-0.012270446407256,0.097390474704478,0,0.097390474704478,0,0.0389254377656989,0.0583013061708369,0.155101139312426,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,q,q,0.165373466682773,0.136204017825053,0.165373466682773,0.136204017825053,0.104476212283634,0.252316230864398,0.0791682637165092,0.222725635511887,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,c,c,-0.0172697439946903,0.017429543087809,0,0.017429543087809,0,0.00200175643506612,0.00796449014620897,0.0380413994379004,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,delta,\delta,0.0214486766412686,0.00624120610219179,0.0214486766412686,0.00624120610219179,0.00126649778051417,0.0387330831430711,0.00362981871968256,0.0108752771571985,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,rho_R,\rho_R,0.00236829277536158,0.000661133446192554,0.00236829277536158,0.000661133446192554,0,0.00642058702717132,0.000357608481964098,0.00115979877382054,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,mu_R,\mu_R,8.46768766762755e-07,1.96164697624248e-06,8.46768766762755e-07,1.96164697624248e-06,0,0.000166113999023496,1.08201067691931e-06,3.74367705324134e-06,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,rho_Ab,\rho_{Ab},-2.34449455095715e-06,1.27702540548602e-09,0,1.27702540548602e-09,0,5.69147045033788e-07,7.10736284783319e-10,2.45913425079081e-09,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,theta_Ab,\theta_{Ab},-1.41084034231484e-06,7.96789244686522e-10,0,7.96789244686522e-10,0,1.5703583966011e-06,3.49162858262219e-10,1.5181540105201e-09,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,alpha_t,\alpha_t,0.0164067101310391,0.015491281690852,0.0164067101310391,0.015491281690852,0.00495121486822374,0.0298238900590053,0.00996929178724713,0.0231088376304652,2341511.40970554,1024,0
Tier1_within_host,peak_Ag,alpha_R,\alpha_R,0.0106218612484747,0.00952080480566408,0.0106218612484747,0.00952080480566408,0,0.0266452579776516,0.00611227591154413,0.0147943844485161,2341511.40970554,1024,0
